a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,days
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,12.32
0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,7.5
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10.48
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.31
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.3
1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.2
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.25
1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8.82
0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5.58
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.47
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.74
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6.35
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6.24
1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.02
1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.41
1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6.96
1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6.62
1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,14.01
1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,14.17
1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,11.01
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.89
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.63
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.37
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.54
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.34
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5
1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.83
1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.78
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.42
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.41
1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.43
0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.67
1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,10.62
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7.8
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.23
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.73
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7.71
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7.8
1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.31
1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.69
1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8.67
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,15.83
1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16.34
1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16.28
1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,13.15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.97
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9
0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8.2
0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,5.36
0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.63
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.76
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.3
0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.18
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.66
0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8.48
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,4.75
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.47
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.51
1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9.05
1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8.6
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.09
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.77
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4.04
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4.01
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10.22
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10.09
0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,9.94
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,7.48
0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5.19
0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4.86
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.7
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.75
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.08
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.03
0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4.79
0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4.66
1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.5
1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.44
1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,10.15
1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9.98
0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.12
0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.23
0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7.29
0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7.49
0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,12.75
0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,12.86
0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,7.23
0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,6.64
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.7
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.95
0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,6.66
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.15
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.29
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.05
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.1
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.82
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.24
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.04
0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8.85
0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8.99
0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,9.56
0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,6.61
0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,11.82
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,9.73
0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,17.65
0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,14.65
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3.86
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3.79
0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.87
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.18
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.88
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.42
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2.24
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1.72
1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10.4
0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,9.79
1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11.8
0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,11.84
0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.18
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3.77
0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8.8
0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,5.61
0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16.35
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,13.36
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,3.75
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,4.46
0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6.47
0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5.78
0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,7.33
0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,7.46
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6.72
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6.51
1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,8.56
1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,9.14
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4.02
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.64
0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,6.37
0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,6.18
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,11.5
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,12.13
0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,9.24
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10.66
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.99
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.66
1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,10.69
0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7.64
1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,12.63
0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,9.92
0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8.32
0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,5.23
0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,10.69
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,9.22
0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,16.63
0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,14.25
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2.63
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2.8
1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,13.11
0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,10.1
1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,15.11
0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,11.87
0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,10.12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,8.7
0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,11.85
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.67
0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,18.01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,18.26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.65
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.6
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.12
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8.62
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8.58
1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,11.18
1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,11.11
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,12.94
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,12.95
1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,15.03
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,12.3
1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,10.96
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,20.12
1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,12.96
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,22.04
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.53
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.62
1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,16.88
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,13.65
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.58
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.58
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.06
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.71
0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,11.85
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,11.35
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,9.69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10.4
0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,13.82
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9.33
0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,20.09
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,19.91
